C:\Users\zahra\PyCharmMiscProject\.venv\bin\python.exe C:\Users\zahra\PyCharmMiscProject\AW.py 

  Running correctness verification …
  ✓ All 10 algorithms passed correctness check.

=================================================================
  Experimental Comparison of Sorting Algorithms
  Algorithms Course — Python Benchmark
=================================================================
  Algorithms   : 10
  Input sizes  : [100, 500, 1000, 2000, 5000, 10000]
  Distributions: ['random', 'sorted', 'reverse']
  Trials/cell  : 5
  Total cells  : 180
=================================================================

── Distribution: RANDOM ──────────────────────────────
  [  0.6%]  Bubble Sort       n=   100  random         0.262 ms
  [  1.1%]  Selection Sort    n=   100  random         0.141 ms
  [  1.7%]  Insertion Sort    n=   100  random         0.117 ms
  [  2.2%]  Merge Sort        n=   100  random         0.235 ms
  [  2.8%]  Quick Sort        n=   100  random         0.040 ms
  [  3.3%]  Heap Sort         n=   100  random         0.084 ms
  [  3.9%]  Shell Sort        n=   100  random         0.067 ms
  [  4.4%]  Counting Sort     n=   100  random         0.358 ms
  [ 43.9%]  Radix Sort        n=   500  sorted         0.300 ms
  [ 44.4%]  Tim Sort          n=   500  sorted         0.003 ms
  [ 45.0%]  Bubble Sort       n= 1,000  sorted         0.063 ms
  [ 45.6%]  Selection Sort    n= 1,000  sorted        23.594 ms
  [ 46.1%]  Insertion Sort    n= 1,000  sorted         0.105 ms
  [ 46.7%]  Merge Sort        n= 1,000  sorted         1.445 ms
  [ 47.2%]  Quick Sort        n= 1,000  sorted         0.702 ms
  [ 47.8%]  Heap Sort         n= 1,000  sorted         1.363 ms
  [ 48.3%]  Shell Sort        n= 1,000  sorted         0.639 ms
  [ 48.9%]  Counting Sort     n= 1,000  sorted         2.437 ms
  [ 49.4%]  Radix Sort        n= 1,000  sorted         0.662 ms
  [ 50.0%]  Tim Sort          n= 1,000  sorted         0.005 ms
  [ 50.6%]  Bubble Sort       n= 2,000  sorted         0.144 ms
  [ 51.1%]  Selection Sort    n= 2,000  sorted       126.460 ms
  [ 51.7%]  Insertion Sort    n= 2,000  sorted         0.258 ms
  [ 52.2%]  Merge Sort        n= 2,000  sorted         3.154 ms
  [ 52.8%]  Quick Sort        n= 2,000  sorted         1.273 ms
  [ 53.3%]  Heap Sort         n= 2,000  sorted         4.378 ms
  [ 53.9%]  Shell Sort        n= 2,000  sorted         1.528 ms
  [ 54.4%]  Counting Sort     n= 2,000  sorted         4.979 ms
  [ 55.0%]  Radix Sort        n= 2,000  sorted         1.669 ms
  [ 55.6%]  Tim Sort          n= 2,000  sorted         0.010 ms
  [ 56.1%]  Bubble Sort       n= 5,000  sorted         0.361 ms
  [ 56.7%]  Selection Sort    n= 5,000  sorted       865.885 ms
  [ 57.2%]  Insertion Sort    n= 5,000  sorted         0.649 ms
  [ 57.8%]  Merge Sort        n= 5,000  sorted        10.216 ms
  [ 58.3%]  Quick Sort        n= 5,000  sorted         6.737 ms
  [ 58.9%]  Heap Sort         n= 5,000  sorted        16.188 ms
  [ 59.4%]  Shell Sort        n= 5,000  sorted         5.000 ms
  [ 60.0%]  Counting Sort     n= 5,000  sorted        14.582 ms
  [ 60.6%]  Radix Sort        n= 5,000  sorted         5.827 ms
  [ 61.1%]  Tim Sort          n= 5,000  sorted         0.023 ms
  [ 61.7%]  Bubble Sort       n=10,000  sorted         0.782 ms
  [ 62.2%]  Selection Sort    n=10,000  sorted      3969.744 ms
  [ 62.8%]  Insertion Sort    n=10,000  sorted         2.851 ms
  [ 63.3%]  Merge Sort        n=10,000  sorted        42.708 ms
  [ 63.9%]  Quick Sort        n=10,000  sorted        16.567 ms
  [ 64.4%]  Heap Sort         n=10,000  sorted        22.394 ms
  [ 65.0%]  Shell Sort        n=10,000  sorted        12.663 ms
  [ 65.6%]  Counting Sort     n=10,000  sorted        34.333 ms
  [ 66.1%]  Radix Sort        n=10,000  sorted        12.883 ms
  [ 66.7%]  Tim Sort          n=10,000  sorted         0.060 ms
── Distribution: REVERSE ──────────────────────────────
  [ 67.2%]  Bubble Sort       n=   100  reverse        0.289 ms
  [ 67.8%]  Selection Sort    n=   100  reverse        0.114 ms
  [ 68.3%]  Insertion Sort    n=   100  reverse        0.175 ms
  [ 68.9%]  Merge Sort        n=   100  reverse        0.131 ms
  [ 69.4%]  Quick Sort        n=   100  reverse        0.028 ms
  [ 70.0%]  Heap Sort         n=   100  reverse        0.065 ms
  [ 70.6%]  Shell Sort        n=   100  reverse        0.039 ms
  [ 71.1%]  Counting Sort     n=   100  reverse        0.228 ms
  [ 71.7%]  Radix Sort        n=   100  reverse        0.040 ms
  [ 72.2%]  Tim Sort          n=   100  reverse        0.001 ms
  [ 72.8%]  Bubble Sort       n=   500  reverse       19.235 ms
  [ 73.3%]  Selection Sort    n=   500  reverse       11.957 ms
  [ 73.9%]  Insertion Sort    n=   500  reverse       14.068 ms
  [ 74.4%]  Merge Sort        n=   500  reverse        2.013 ms
  [ 75.0%]  Quick Sort        n=   500  reverse        0.830 ms
  [ 75.6%]  Heap Sort         n=   500  reverse        1.133 ms
  [ 76.1%]  Shell Sort        n=   500  reverse        0.797 ms
  [ 76.7%]  Counting Sort     n=   500  reverse        3.327 ms
  [ 77.2%]  Radix Sort        n=   500  reverse        0.950 ms
  [ 77.8%]  Tim Sort          n=   500  reverse        0.008 ms
  [ 78.3%]  Bubble Sort       n= 1,000  reverse      106.629 ms
  [ 78.9%]  Selection Sort    n= 1,000  reverse       38.038 ms
  [ 79.4%]  Insertion Sort    n= 1,000  reverse       34.397 ms
  [ 80.0%]  Merge Sort        n= 1,000  reverse        2.938 ms
  [ 80.6%]  Quick Sort        n= 1,000  reverse        0.738 ms
  [ 81.1%]  Heap Sort         n= 1,000  reverse        1.046 ms
  [ 81.7%]  Shell Sort        n= 1,000  reverse        1.071 ms
  [ 82.2%]  Counting Sort     n= 1,000  reverse        2.338 ms
